Setting,Sterilization,Nutrients,Container_type,Container_size,Substrate,Reference
Greenhouse,"Weekly aspersion of fungicide mix Benomilo and Ftalimida in a 0.5 g L-1 ratio,",,Tray,40 x 63 x 14.5 cm,Pine bark,"Benedetti, S., et al. (2012). ""An analysis of the physical and germination parameters of the sweet Chestnut (Castanea sativa)."" Ciencia E Investigacion Agraria 39(1): 185-192."
Incubator,,,Petri,12 cm,Filter paper,"Benvenuti, S. and A. Pardossi (2016). ""Germination ecology of nutraceutical herbs for agronomic perspectives."" European Journal of Agronomy 76: 118-129."
Incubator,20% (v/v) commercial bleach (4.6% w/v sodium hypochlorite) for 10 min,MS medium,Petri,9 cm,Agar,"Bertsouklis, K. F. and M. Papafotiou (2013). ""Seed Germination of Arbutus unedo, A-andrachne and Their Natural Hybrid A-andrachnoides in Relation to Temperature and Period of Storage."" Hortscience 48(3): 347-351."
Incubator,,,Petri,9 cm,Filter paper,"Bevington, J. (1986). ""Geographic Differences in the Seed Germination of Paper Birch (Betula Papyrifera)."" American Journal of Botany 73(4): 564-573."
Incubator,,,Petri,9 cm,Filter paper,"Bevington, J. M. (1981). ""Phytochrome Action during Prechilling Induced Germination of Betula papyrifera Marsh."" Plant Physiol 67(4): 705-710."
Incubator,,,Box,17 × 12 cm,Peat and sand 1:1,"Bezd??ková, L., et al. (2013). ""Practical implications of inconsistent germination and viability results in testing stored Fagus sylvatica seeds."" Dendrobiology 71: 35-47."
Incubator,,,Petri,9m,Soil,"Bicknell, S. H. S., William H. (1975). ""Influence of soil salt, at levels characteristic of some roadside environments, on the germination of certain tree seeds."" Plant and Soil 43(1-3): 719-722."
Incubator,,,Petri,,Agar,"Bischoff, A. and H. Müller-Schärer (2010). ""Testing population differentiation in plant species - how important are environmental maternal effects."" Oikos 119(3): 445-454."
Incubator,,,Petri,,Agar,"Bischoff, A., et al. (2006). ""Seed provenance matters — Effects on germination of four plant species used for ecological restoration."" Basic and Applied Ecology 7(4): 347-359."
Incubator,30 min sodium hypochlorite + 80% alcohol 1:1,,Petri,9 cm,Filter paper,"Biswas, P. K. B., P. A.; Paul, K. B. (1972). ""Germination Promotion of Loblolly Pine and Baldcypress Seeds by Stratification and Chemical Treatments."" Physiologia Plantarum 27(1): 71-76."
Incubator,,,Petri,,Filter paper,"Black, M. W., P. F. (1955). ""Growth Studies in Woody Species VII. Photoperiodic Control of Germination in Betula pubescens Ehrh."" Physiologia Plantarum 8(2): 300-316."
Incubator,,,Petri,6 cm,Soil,"Blossey, B., et al. (2017). ""Climate and rapid local adaptation as drivers of germination and seed bank dynamics of Alliaria petiolata (garlic mustard) in North America."" Journal of Ecology 105(6): 1485-1495."
Incubator,,,Tray,10 x 7 cm,Filter paper,"Boberg, P., et al. (2010). ""The effect of high temperatures on seed germination of one native and two introduced conifers in Patagonia."" Nordic Journal of Botany 28(2): 231-239."
Incubator,,,Petri,9 cm,Filter paper,"Bochenek, A., et al. (2016). ""Do the seeds of Solidago gigantea Aiton have physiological determinants of invasiveness?"" Acta Physiologiae Plantarum 38(6)."
Incubator,,,Petri,,Filter paper,"Boedeltje, G., et al. (2016). ""Effect of gut passage in fish on the germination speed of aquatic and riparian plants."" Aquatic Botany 132: 12-16."
Incubator,,,Petri,15 cm,Filter paper,"Bolin, J. F. (2009). ""Heat Shock Germination Responses of Three Eastern North American Temperate Species."" Castanea 74(2): 160-167."
Incubator,,,Petri,9 cm,Agar,"Boncaldo, E., et al. (2010). ""Germinability and fungal occurrence in seeds ofAbies albaMill. populations in southern Italy."" Plant Biosystems - An International Journal Dealing with all Aspects of Plant Biology 144(3): 740-745."
Incubator,,,Tray,,Cellulose wadding,"Bonner, F. (1996). ""Responses to Drying of Recalcitrant Seeds ofQuercus nigraL."" Annals of Botany 78(2): 181-187."
Incubator,,,Petri,,Water,"Bonner, F. T. (1967). ""GERMINATION OF SWEETGUM SEED IN RESPONSE TO LIGHT."" Journal of Forestry 65(5): 339-&."
Incubator,,,Box,,Slant board,"Booth, D. T. (1999). ""Imbibition temperatures affect bitterbrush seed dormancy and seedling vigor."" Journal of Arid Environments 43(1): 91-101."
Incubator,,,Box,,Slant board,"Booth, D. T. B., Yuguang (1999). ""Imbibition Temperature Affects on Seedling Vigor: In Crops and Shrubs."" Journal of Range Management 52(5): 534-538."
Incubator,,,Petri,,Filter paper,"Bourgeois, J. M., L. (1991). ""Metabolic changes related to the acceleration of jack pine germination by osmotic priming."" Tree Physiology 8(4): 407-413."
Incubator,,,Box,51 x 25 x 10 cm,Kimpak,"Bourgoin, A. and J. D. Simpson (2004). ""Soaking, moist-chilling, and temperature effects on germination of Acer pensylvanicum seeds."" Canadian Journal of Forest Research 34(10): 2181-2185."
Incubator,,,Pot,,Soil,"Bouteiller, X. P. P., Annabel J.; Mariette, Stéphanie; Monty, Arnaud (2017). ""Using automated sanding to homogeneously break seed dormancy in black locust (Robinia pseudoacacia L., Fabaceae)."" Seed Science Research 27(03): 243-250."
Incubator,,,Petri,,Filter paper,"Boyd, N. S. H., A. (2011). ""Germination and Emergence Characteristics of Spreading Dogbane (Apocynum androsaemifolium)."" Weed Science 59(04): 533-537."
Incubator,,,Petri,,,"Boyd, N. V. A., Rene (2017). ""Seed germination of common weed species as affected by oxygen concentration, light, and osmotic potential."" Weed Science 52(04): 589-596."
Incubator,5 minutes immersion in sodium hypochlorite,,Petri,,Filter paper,"Bradbeer, J. W. (1968). ""Studies in seed dormancy : IV. The role of endogenous inhibitors and gibberellin in the dormancy and germination of Corylus avellana L. seeds."" Planta 78(3): 266-276."
Incubator,5 minutes immersion in sodium hypochlorite,,Petri,,Filter paper,"Bradbeer, J. W. A., Ingrid E.; Nirmala, Ilango S. (1978). ""The role of chilling in the breaking of seed dormancy inCorylus avellanaL."" Pesticide Science 9(2): 184-186."
Incubator,5 minutes immersion in sodium hypochlorite,,Petri,,Filter paper,"Bradbeer, J. W. and B. Colman (1967). ""Studies in Seed Dormancy. I. The Metabolism of [2-14c] Acetate by Chilled Seeds of Corylus Avellana L."" New Phytologist 66(1): 5-15."
Incubator,,,Flat,,Soil,"Bram, M. R. M., James N. (2004). ""Seed germinability and its seasonal onset of Japanese knotweed (Polygonum cuspidatum)."" Weed Science 52(5): 759-767."
Incubator,,,Petri,5 cm,Filter paper,"Brändel, M. and W. Schütz (2005). ""Temperature effects on dormancy levels and germination in temperate forest sedges (Carex)."" Plant Ecology 176(2): 245-261."
Greenhouse,,,Pot,26 x 13 cm,Peat and vermiculite 1:1,"Brunvatne, J. O. (1998). ""Influence of light quality on the germination of Betula papyrifera seeds."" Scandinavian Journal of Forest Research 13(1-4): 324-330."
Incubator,,,Pot,,Peat and sand 1:1,"Bujarska-Borkowska, B. and P. Chmielarz (2010). ""Stratification, germination and emergence of mazzard seeds following 15- or 20-year storage."" Forestry 83(2): 189-194."
Incubator,,,Petri,9 cm,Filter paper,"Bulut, Y. and M. Demir (2007). ""The allelopathic effects of Scots pine (Pinus sylvestris L.) leaf extracts on turf grass seed germination and seedling growth."" Asian Journal of Chemistry 19(4): 3169-3177."
Incubator,,,Petri,,Filter paper,"Bungard, R. (1997). ""Effects of Chilling, Light and Nitrogen-containing Compounds on Germination, Rate of Germination and Seed Imbibition ofClematis vitalbaL."" Annals of Botany 79(6): 643-650."
Incubator,,,Petri,10 cm,Filter paper,"Butler, T. J., et al. (2017). ""Germination in Cool-Season Forage Grasses under a Range of Temperatures."" Crop Science 57(3): 1725-1731."
Incubator,,,Petri,,Filter paper,"Butnor, J. R., et al. (2018). ""Ethanol exposure can inhibit red spruce (Picea rubens) seed germination."" Seed Science and Technology 46(2): 259-265."
Incubator,,,Petri,,,"Cabra-Rivas, I. and P. Castro-Diez (2016). ""Comparing the Sexual Reproductive Success of Two Exotic Trees Invading Spanish Riparian Forests vs. a Native Reference."" Plos One 11(8): e0160831."
Incubator,,,Flat,,Sand,"Cain, M. D. and M. G. Shelton (1998). ""Viability of litter-stored Pinus taeda L seeds after simulated prescribed winter burns."" New Forests 16(1): 1-10."
Incubator,,,Flat,,Sand,"Cain, M. D. and M. G. Shelton (2003). ""Fire effects on germination of seeds from Rhus and Rubus: competitors to pine during natural regeneration."" New Forests 26(1): 51-64."
Incubator,,,Flat,20 cm3,Vermiculite,"Cain, M. D. S., M. G. (1998). ""Viability of Litter-Stored Quercus falcata Michx. Acorns After Simulated Prescribed Winter Burns."" International Journal of Wildland Fire 8(4): 199-203."
Incubator,,,Petri,8 cm,Filter paper,"Çali?kan, O., et al. (2012). ""Influences of presowing treatments on the germination and emergence of fig seeds (Ficus carica L.)."" Acta Scientiarum. Agronomy 34(3): 293-297."
Incubator,,,Tray,18 x 11 x 4.5 cm,Sand,"Caliskan, S. (2014). ""Germination and seedling growth of holm oak (Quercus ilex L.): effects of provenance, temperature, and radicle pruning."" iForest - Biogeosciences and Forestry 7(2): 103-109."
Incubator,,,Petri,9 cm,Filter paper,"Camberato, J. J. M., S. B. (2004). ""Salinity slows germination of rough bluegrass."" Hortscience 39(2): 394-397."
Incubator,,,Petri,,,"Campbell, M. H. (1985). ""Germination, emergence and seedling growth of Hypericum perforatum L."" Weed Research 25(4): 259-266."
,,,,,,"Campbell, R. A. D., Donald J. (1979). ""Laser activation of phytochrome-controlled germination in Pinusbanksiana."" Canadian Journal of Forest Research 9(4): 522-524."
Incubator,,,Box,51 x 25 x 10 cm,,"Carles, S., et al. (2009). ""Genetic Variation in Seed Size and Germination Patterns and their Effect on White Spruce Seedling Characteristics."" Silvae Genetica 58(1-6): 152-161."
Incubator,,,Tube,3.8 cm,Peat and perlite,"Carlson, C. E. (1994). ""Germination and early growth of western larch (Larixoccidentalis), alpine larch (Larixlyallii), and their reciprocal hybrids."" Canadian Journal of Forest Research 24(5): 911-916."
Incubator,,,Box,51 x 25 x 10 cm,Kimpak,"Caron, G. E. W., B. S. P.; Schooley, H. O. (1990). ""Effect of Tree Spacing, Cone Storage, and Prechilling on Germination of Picea glauca Seed."" The Forestry Chronicle 66(4): 388-392."
Incubator,,,Petri,,Filter paper,"Castoldi, E. and J. A. Molina (2014). ""Effect of seed mass and number of cotyledons on seed germination after heat treatment in Pinus sylvestris L. var. iberica Svob."" Forest Systems 23(3): 483-489."
Incubator,,,Petri,,Filter paper,"Catana, R., et al. (2018). ""Effect of the storage at low temperatures on the germination and antioxidant activity of Geum urbanum seeds."" Romanian Biotechnological Letters 23(3): 13599-13606."
Incubator,,,Petri,,Filter paper,"Chachalis, D. R., Krishna N. (2000). ""Factors affectingCampsis radicansseed germination and seedling emergence."" Weed Science 48(2): 212-216."
Incubator,,,Petri,4 cm,Agar,"Chen, H., et al. (2012). ""Post desiccation germination of mature seeds of tea (Camellia sinensis L.) can be enhanced by pro-oxidant treatment, but partial desiccation tolerance does not ensure survival at -20 degrees C."" Plant Sci 184: 36-44."
Incubator,,,Bag,,Moss,"Chen, S. Y. K., S. R.; Chien, C. T. (2007). ""Storage behaviour of seeds of Cinnamomum osmophloeum and Neolitsea aciculata var. variabillima (Lauraceae)."" Seed Science and Technology 35(1): 237-243."
Incubator,,,Bag,,Moss,"Chen, S. Y., et al. (2008). ""Roles of gibberellins and abscisic acid in dormancy and germination of red bayberry (Myrica rubra) seeds."" Tree Physiol 28(9): 1431-1439."
Incubator,,,Bag,,Moss,"Chen, S. Y., et al. (2010). ""Storage behavior and changes in concentrations of abscisic acid and gibberellins during dormancy break and germination in seeds of Phellodendron amurense var. wilsonii (Rutaceae)."" Tree Physiol 30(2): 275-284."
Incubator,,,,,Moss,"Chien, C. T. C., S. Y.; Chang, S. H.; Chung, J. D. (2006). ""Dormancy and germination in seeds of the medicinal Asian tree species Phellodendron amurense var. wilsonii (Rutaceae)."" Seed Science and Technology 34(3): 561-571."
Incubator,,,Box,,Sand,"Ching, T. M. (1959). ""Activation of Germination in Douglas Fir Seed by Hydrogen Peroxide."" Plant Physiol 34(5): 557-563."
Incubator,,,,,Filter paper,"Chmielarz, P. (2009). ""Cryopreservation of conditionally dormant orthodox seeds of Betula pendula."" Acta Physiologiae Plantarum 32(3): 591-596."
Incubator,,,Box,.25 l,Sand and peat 1:1,"Chmielarz, P. (2009). ""Cryopreservation of dormant European ash (Fraxinus excelsior) orthodox seeds."" Tree Physiol 29(10): 1279-1285."
Incubator,,,,,Filter paper,"Chmielarz, P. (2010). ""Cryopreservation of dormant orthodox seeds of European hornbeam (Carpinus betulus)."" Seed Science and Technology 38(1): 146-157."
Incubator,,,,,Filter paper,"Chmielarz, P. (2010). ""Cryopreservation of orthodox seeds of Alnus glutinosa."" Cryo Letters 31(2): 139-146."
Incubator,,,Box,.2 l,Sand and peat 1:1,"Chmielarz, P. (2010). ""Cryopreservation of the non-dormant orthodox seeds of Ulmus glabra."" Acta Biol Hung 61(2): 224-233."
Incubator,,,Petri,9 cm,Filter paper,"Cho, J. S. and C. H. Lee (2018). ""Effect of germination and water absorption on scarification and stratification of kousa dogwood seed."" Horticulture, Environment, and Biotechnology 59(3): 335-344."
Incubator,,,Petri,9 cm,Filter paper,"Cho, J. S., et al. (2014). ""Several Factors Affecting Seed Germination of Hydrangea petiolaris Siebold & Zucc."" Korean Journal of Plant Resources 27(5): 534-539."
Incubator,30% H2O2 for 20 min,,,,Soil,"Choi, D., et al. (2009). ""Seed germination and seedling physiology of Larix kaempferi and Pinus densiflora in seedbeds with charcoal and elevated CO2."" Landscape and Ecological Engineering 5(2): 107-113."
Incubator,,,Petri,9 cm,Filter paper,"Choi, G. E., et al. (2016). ""Scarification and stratification protocols for breaking dormancy of Rubus (Rosaceae) species in Korea."" Seed Science and Technology 44(2): 239-252."
Incubator,75% ethanol for 5 min,,Petri,9 cm,Filter paper,"Chunhui, W. (2011). ""Effects of drought and salt stress on seed germination of three leguminous species."" African Journal of Biotechnology 10(78): 17954-17961."
Incubator,,,Petri,20 cm,Filter paper,"Cicek, E. and F. Tilki (2007). ""Seed germination of three Ulmus species from Turkey as influenced by temperature and light."" Journal of Environmental Biology 28(2): 423-425."
Incubator,1% hypochlorite for 1 min,,,,Filter paper,"Clifton-Brown, J., et al. (2011). ""Thermal requirements for seed germination in Miscanthus compared with Switchgrass (Panicum virgatum), Reed canary grass (Phalaris arundinaceae), Maize (Zea mays) and perennial ryegrass (Lolium perenne)."" GCB Bioenergy 3(5): 375-386."
Greenhouse,,,Tray,,Sand,"Cóbar-Carranza, A. J., et al. (2015). ""Efecto de la alta temperatura en la germinación y supervivencia de semillas de la especie invasora Pinus contorta y dos especies nativas del sur de Chile."" Bosque (Valdivia) 36(1): 53-60."
Incubator,,,Pot,8 x 8 x 13 cm,Vermiculite,"Conner, P. J. (2008). ""Effects of stratification, germination temperature, and pretreatment with gibberellic acid and hydrogen peroxide on germination of 'Fry' muscadine (Vitis rotundifolia) seed."" Hortscience 43(3): 853-856."
Incubator,,,Petri,10 cm,Filter paper,"Connolly, B. M., et al. (2017). ""Interactive Effects of Contact Fungicide and Cold Stratification on the Germination Rate for Five Dominant Temperate Tree Species."" Forest Science 63(3): 303-309."
Incubator,,,,,Kimpak,"Connor, K. F. and F. T. Bonner (2001). ""The effects of desiccation on seeds of Acer saccharinum and Aesculus pavia: recalcitrance in temperate tree seeds."" Trees 15(3): 131-136."
Incubator,,,,,Kimpak,"Connor, K. F. and S. Sowa (2003). ""Effects of desiccation on the physiology and biochemistry of Quercus alba acorns."" Tree Physiol 23(16): 1147-1152."
Incubator,,,Petri,9 cm,Filter paper,"Conversa, G. and A. Elia (2009). ""Effect of seed age, stratification, and soaking on germination of wild asparagus (Asparagus acutifolius L.)."" Scientia Horticulturae 119(3): 241-245."
Incubator,,,Petri,9 cm,Filter paper,"Conversa, G., et al. (2010). ""Effects of after-ripening, stratification and GA3 on dormancy release and on germination of wild asparagus (Asparagus acutifolius L.) seeds."" Scientia Horticulturae 125(3): 196-202."
Incubator,,,Petri,9 cm,Cotton wool,"Corbineau, F., et al. (2002). ""Breakage of Pseudotsuga menziesii seed dormancy by cold treatment as related to changes in seed ABA sensitivity and ABA levels."" Physiologia Plantarum 114(2): 313-319."
Incubator,,,Flat,,"Pear, perlite and pine bark","Couvillon, G. A. (2002). ""Cercis canadensis L. seed size influences germination rate, seedling dry matter, and seedling leaf area."" Hortscience 37(1): 206-207."
Incubator,1% hypochlorite solution,,Petri,,Water,"Crowe, A. U., et al. (2002). ""Effects of an industrial effluent on plant colonization and on the germination and post-germinative growth of seeds of terrestrial and aquatic plant species."" Environ Pollut 117(1): 179-189."
Incubator,,,Petri,18 cm,Filter paper,"Dacasa Rudinger, M. C. and A. Dounavi (2008). ""Underwater germination potential of common ash seed (Fraxinus excelsior L.) originating from flooded and non-flooded sites."" Plant Biol (Stuttg) 10(3): 382-387."
Incubator,,,Pot,,Soil,"Dalgleish, H. J., et al. (2012). ""Weevil seed damage reduces germination and seedling growth of hybrid American chestnut."" Canadian Journal of Forest Research 42(6): 1107-1114."
Incubator,8 ml of a fungicide solution,,Petri,,Filter paper,"Daskalakou, E. N., et al. (2017). ""Interannual variability of germination and cone/seed morphometric characteristics in the endemic Grecian fir (Abies cephalonica) over an 8-year-long study."" Seed Science Research 28(01): 24-33."
Greenhouse,,,,,Soil,"David, A. (2002). ""Germination percentage and germination speed of European larch (Larix decidua Mill.) seed after prolonged storage."" Northern Journal of Applied Forestry 19(4): 168-170."
